Exp,Material,Sample,Sample ID,Identifier,FINAL,Ratio,RSD ppm,Analysis Done By,Unnamed: 8
T06,Lu,Tails,T06 Lu Tails,D,176/175,0.042,578.13,,
T06,Lu,Tails,T06 Lu Tails,E,176/175,0.043,524.88,,
T06,Lu,Tails,T06 Lu Tails,F,176/175,0.043,561.95,,
T07,Lu,Nat1000,T07 Lu Nat1000,A,176/175,0.045,968.87,,
T07,Lu,Nat1000,T07 Lu Nat1000,B,176/175,0.045,884.83,,
T07,Lu,Nat,T07 Lu Nat,A,176/175,0.045,849.94,,
T07,Lu,CPM,T07 Lu CPM,A,176/175,8.703,232.83,,
T07,Lu,CPM,T07 Lu CPM,B,176/175,8.706,159.37,,
T07,Lu,CPM,T07 Lu CPM,C,176/175,8.709,133.81,,
T07,Lu,Tails,T07 Lu Tails,A,176/175,0.042,533.86,,
T07,Lu,Tails,T07 Lu Tails,B,176/175,0.042,437.57,,
T07,Lu,CP(TB),T07 Lu CP(TB),A,176/175,4.584,254.28,,
T08,Lu,CPM,T08 Lu CPM,A,176/175,7.585,136.54,,
T08,Lu,Tails,T08 Lu Tails,A,176/175,0.044,943.62,,
T08,Lu,Nat 1000,T08 Lu Nat 1000,A,176/175,0.045,867.17,,
T08,Lu,Nat 2000,T08 Lu Nat 2000,A,176/175,0.045,366.28,,
M01,Lu,Product,M01 Lu Product,A,176/175,7.034,206.02,,
M01,Lu,Nat 1000,M01 Lu Nat 1000,A,176/175,0.047,528.41,,
M01,Lu,Nat 2000,M01 Lu Nat 2000,A,176/175,0.046,382.1,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),A,170/173,0.324,4820.4,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),A,171/173,1.029,2180.42,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),A,172/173,2.358,19168.25,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),A,174/173,2.954,1499.32,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),A,176/173,113.639,10553.91,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),B,170/173,0.285,5695.06,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),B,171/173,1.032,452.13,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),B,172/173,1.540423342,412.7,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),B,174/173,2.183924137,509.5,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),B,176/173,102.564989,2045.89,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,A,170/173,0.324324577,645.23,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,A,171/173,1.045378291,376.4,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,A,172/173,1.568237825,101.58,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,A,174/173,2.105722574,120.5,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,A,176/173,0.688670433,5213.3,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,B,170/173,0.195667589,5901.1,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,B,171/173,0.987563025,693.8,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,B,172/173,1.566992833,1038.5,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,B,174/173,2.091903405,580.9,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,B,176/173,0.732014859,6845.3,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,C,170/173,0.202202117,566.1,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,C,171/173,1.122211543,295.0,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,C,172/173,1.785759875,340.3,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,C,174/173,2.356097407,178.9,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,C,176/173,0.493748329,2923.2,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,D,170/173,0.198984161,276.8,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,D,171/173,1.010458624,300.2,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,D,172/173,1.571664953,467.3,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,D,174/173,2.155642349,79.5,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,D,176/173,0.585410259,2704.9,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,E,170/173,0.214309594,285.0,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,E,171/173,1.087864508,155.3,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,E,172/173,1.786454163,132.8,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,E,174/173,2.358779392,145.0,,
E16,Yb,Tail Actual,E16 Yb Tail Actual,E,176/173,0.473626072,3389.1,,
E16,Yb,Nat,E16 Yb Nat,A,170/173,0.246874235,3497.2,,
E16,Yb,Nat,E16 Yb Nat,A,171/173,1.093147228,271.5,,
E16,Yb,Nat,E16 Yb Nat,A,172/173,1.563830191,812.5,,
E16,Yb,Nat,E16 Yb Nat,A,174/173,2.001828561,280.1,,
E16,Yb,Nat,E16 Yb Nat,A,176/173,1.020653294,2658.3,,
E16,Yb,Nat,E16 Yb Nat,A,168/170,0.027523745,131579.2,,
E16,Yb,CA,E16 Yb CA,A,170/173,0.202135155,1273.5,,
E16,Yb,CA,E16 Yb CA,A,171/173,0.973974113,581.4,,
E16,Yb,CA,E16 Yb CA,A,172/173,1.423138123,644.9,,
E16,Yb,CA,E16 Yb CA,A,174/173,1.786499881,301.9,,
E16,Yb,CA,E16 Yb CA,A,176/173,65.84894218,2322.9,,
E16,Yb,CG,E16 Yb CG,A,170/173,0.215468943,1601.2,,
E16,Yb,CG,E16 Yb CG,A,171/173,1.026114171,823.5,,
E16,Yb,CG,E16 Yb CG,A,172/173,1.587274155,406.1,,
E16,Yb,CG,E16 Yb CG,A,174/173,2.112005278,483.6,,
E16,Yb,CG,E16 Yb CG,A,176/173,79.31781267,4972.7,,
E16,Yb,CP(SS),E16 Yb CP(SS),A,170/173,0.211335652,5883.3,,
E16,Yb,CP(SS),E16 Yb CP(SS),A,171/173,0.942014263,598.3,,
E16,Yb,CP(SS),E16 Yb CP(SS),A,172/173,1.417279109,624.2,,
E16,Yb,CP(SS),E16 Yb CP(SS),A,174/173,1.810711531,531.7,,
E16,Yb,CP(SS),E16 Yb CP(SS),A,176/173,64.38760322,2348.6,,
E16,Yb,CP(SS),E16 Yb CP(SS),B,170/173,0.198716091,5856.0,,
E16,Yb,CP(SS),E16 Yb CP(SS),B,171/173,0.942371054,3060.1,,
E16,Yb,CP(SS),E16 Yb CP(SS),B,172/173,1.403128409,2925.4,,
E16,Yb,CP(SS),E16 Yb CP(SS),B,174/173,1.789351083,4556.8,,
E16,Yb,CP(SS),E16 Yb CP(SS),B,176/173,63.01995149,14435.2,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),C,170/173,0.210658393,1748.5,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),C,171/173,0.952766801,723.0,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),C,172/173,1.455276261,640.2,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),C,174/173,2.124753492,397.6,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),C,176/173,104.2192767,3139.7,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),D,170/173,0.212547993,1599.8,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),D,171/173,0.974570433,428.2,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),D,172/173,1.432118087,510.7,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),D,174/173,2.117578123,294.1,,
E16,Yb,CP(Ta),E16 Yb CP(Ta),D,176/173,104.3157031,1832.3,,
E16,Yb,RP,E16 Yb RP,A,170/173,0.228074679,8343.9,,
E16,Yb,RP,E16 Yb RP,A,171/173,1.047035866,9202.9,,
